Datetime;Resolution code;Offshore/onshore;Region;Grid connection type;Measured & upscaled;Most recent forecast;Most recent P10;Most recent P90;Day Ahead 11AM Forecast;Day Ahead 11AM P10;Day Ahead 11AM P90;Day-ahead 6PM forecast;Day-ahead 6PM P10;Day-ahead 6PM P90;Week-ahead forecast;Week-ahead P10;Week-ahead P90;Monitored capacity;Load factor;Decremental bid Indicator
26-03-22 01:15;0.00:15:00;Offshore;Federal;Elia;;582.65;70.74;1193.03;;;;;;;853.45;39.85;1540.07;2254.4;;0
26-03-22 01:00;0.00:15:00;Offshore;Federal;Elia;;579.8;87.37;1208.34;;;;;;;853.62;41.45;1543.5;2254.4;;0
26-03-22 00:45;0.00:15:00;Offshore;Federal;Elia;;608.64;102.25;1216;;;;;;;869.25;59.33;1545.31;2254.4;;0
26-03-22 00:30;0.00:15:00;Offshore;Federal;Elia;;642.58;107.28;1253;;;;;;;881.67;63.52;1563.63;2254.4;;0
26-03-22 00:15;0.00:15:00;Offshore;Federal;Elia;;662.14;108.56;1292.46;;;;;;;886.4;72.85;1537.37;2254.4;;0
26-03-22 00:00;0.00:15:00;Offshore;Federal;Elia;;679.89;115.86;1317.23;;;;;;;891.13;77.6;1520.73;2254.4;;0
25-03-22 23:45;0.00:15:00;Offshore;Federal;Elia;;709.92;118.86;1325.02;;;;;;;609.88;20.61;1353.72;2254.4;;0
25-03-22 23:30;0.00:15:00;Offshore;Federal;Elia;;742.32;121.9;1337.85;;;;;;;625.76;21.09;1341.99;2254.4;;0
25-03-22 23:15;0.00:15:00;Offshore;Federal;Elia;;774.57;124.99;1354.48;;;;;;;635.55;21.58;1344.11;2254.4;;0
25-03-22 23:00;0.00:15:00;Offshore;Federal;Elia;;805.41;128.12;1376.83;;;;;;;629.3;22.07;1357.81;2254.4;;0
25-03-22 22:45;0.00:15:00;Offshore;Federal;Elia;;837.1;131.3;1424.15;;;;;;;623.04;21.72;1369.28;2254.4;;0
25-03-22 22:30;0.00:15:00;Offshore;Federal;Elia;;845.65;134.53;1467.37;;;;;;;616.83;16.83;1393.42;2254.4;;0
25-03-22 22:15;0.00:15:00;Offshore;Federal;Elia;;860.69;136.31;1490.87;;;;;;;609.48;18.45;1400.97;2254.4;;0
25-03-22 22:00;0.00:15:00;Offshore;Federal;Elia;;891.94;159.98;1500.29;;;;;;;612.74;29.19;1407.3;2254.4;;0
25-03-22 21:45;0.00:15:00;Offshore;Federal;Elia;;896.64;160.18;1513.71;;;;;;;624.96;29.97;1415.25;2254.4;;0
25-03-22 21:30;0.00:15:00;Offshore;Federal;Elia;;906.02;160.29;1531.85;;;;;;;627.29;29.73;1413.63;2254.4;;0
25-03-22 21:15;0.00:15:00;Offshore;Federal;Elia;;906.9;160.4;1562.52;;;;;;;627.63;21.38;1424.74;2254.4;;0
25-03-22 21:00;0.00:15:00;Offshore;Federal;Elia;;888.46;160.51;1572.63;;;;;;;641.19;9.98;1450.85;2254.4;;0
25-03-22 20:45;0.00:15:00;Offshore;Federal;Elia;;876.47;160.62;1585.2;;;;;;;662.96;8.56;1470.02;2254.4;;0
25-03-22 20:30;0.00:15:00;Offshore;Federal;Elia;;880.36;159.91;1612.51;;;;;;;687.27;5.71;1484.62;2254.4;;0
25-03-22 20:15;0.00:15:00;Offshore;Federal;Elia;;867.83;157.45;1616.3;;;;;;;691.95;5.35;1496.46;2254.4;;0
25-03-22 20:00;0.00:15:00;Offshore;Federal;Elia;;850.25;155.03;1642.29;;;;;;;672.17;4.89;1520.24;2254.4;;0
25-03-22 19:45;0.00:15:00;Offshore;Federal;Elia;;839.63;152.65;1649.27;;;;;;;665.93;4.22;1519.18;2254.4;;0
25-03-22 19:30;0.00:15:00;Offshore;Federal;Elia;;840.67;147.23;1665.6;;;;;;;676.38;3.62;1517.6;2254.4;;0
25-03-22 19:15;0.00:15:00;Offshore;Federal;Elia;;845.29;145;1731.17;;;;;;;679.71;3.38;1521.75;2254.4;;0
25-03-22 19:00;0.00:15:00;Offshore;Federal;Elia;;858.89;142.81;1743.85;;;;;;;691.43;1.33;1522.19;2254.4;;0
25-03-22 18:45;0.00:15:00;Offshore;Federal;Elia;;828.4;134.06;1650.39;;;;;;;660.89;1.33;1508.53;2254.4;;0
25-03-22 18:30;0.00:15:00;Offshore;Federal;Elia;;815.97;123.78;1617.94;;;;;;;632.21;1.33;1463.32;2254.4;;0
25-03-22 18:15;0.00:15:00;Offshore;Federal;Elia;;786.87;101.83;1622.86;;;;;;;606.11;1.31;1418.34;2254.4;;0
25-03-22 18:00;0.00:15:00;Offshore;Federal;Elia;;759.51;82.26;1603.89;;;;;;;578.98;1.26;1370.65;2254.4;;0
25-03-22 17:45;0.00:15:00;Offshore;Federal;Elia;;722.5;67.89;1588.45;;;;;;;550.88;1.21;1344.64;2254.4;;0
25-03-22 17:30;0.00:15:00;Offshore;Federal;Elia;;694.01;59.38;1548.21;;;;;;;525.4;1.15;1310.4;2254.4;;0
25-03-22 17:15;0.00:15:00;Offshore;Federal;Elia;;658.63;42.01;1502.87;;;;;;;501.31;0.67;1266.54;2254.4;;0
25-03-22 17:00;0.00:15:00;Offshore;Federal;Elia;;624.15;24.27;1477.01;;;;;;;484.82;1.2;1210.88;2254.4;;0
25-03-22 16:45;0.00:15:00;Offshore;Federal;Elia;;605.98;21.37;1462.56;;;;;;;468.36;1.32;1169.93;2254.4;;0
25-03-22 16:30;0.00:15:00;Offshore;Federal;Elia;;586.4;18.67;1452.09;;;;;;;452.6;1.32;1125.88;2254.4;;0
25-03-22 16:15;0.00:15:00;Offshore;Federal;Elia;;570.71;16.12;1428.25;;;;;;;438.42;1.21;1076.43;2254.4;;0
25-03-22 16:00;0.00:15:00;Offshore;Federal;Elia;;553.57;9.33;1392.72;;;;;;;416.66;1.1;1039.23;2254.4;;0
